Method,Train Acc,Train Loss,Val Acc,Latency,FLOPs,Noise Acc,Rotation Acc
AutoNorm-MNIST,0.7299833333333333,1.1820466900825501,0.9879,0.00529592800012324,79391488.0,0.0976,0.0882
AutoNorm_DisableSelector-MNIST,0.7225166666666667,1.1577601770401,0.9915,0.005188501999946311,79376640.0,0.1055,0.0984
AutoNorm_RandomSelector-MNIST,0.70385,1.1852264565785726,0.9896,0.004908775000367314,79376640.0,0.1183,0.1189
FrozenDyT-MNIST,0.7272833333333333,1.1575344852447509,0.99,0.005311745000071823,79391488.0,0.0918,0.0957
FrozenLN-MNIST,0.7268333333333333,1.198673669910431,0.9882,0.005518304000142962,79391488.0,0.1103,0.0813
Teacher-MNIST,0.73195,1.2009146242459614,0.9798,6.538800022099167e-05,102144.0,,
AutoNorm-CIFAR10,0.62184,1.4345891299057008,0.8415,0.005306144999340176,103178368.0,0.1896,0.6869
AutoNorm_DisableSelector-CIFAR10,0.59518,1.469666971092224,0.8332,0.005158446000423283,103161600.0,0.2135,0.6792
AutoNorm_RandomSelector-CIFAR10,0.6414,1.3905834393692016,0.8548,0.0060053950001019984,103161600.0,0.1897,0.6929
FrozenDyT-CIFAR10,0.60226,1.4519438425064086,0.8475,0.006122230000328272,103178368.0,0.1477,0.6762
FrozenLN-CIFAR10,0.60424,1.4592399396896363,0.8297,0.005348862999817357,103178368.0,0.2183,0.6719
Teacher-CIFAR10,0.41004,1.8555243824386596,0.5702,9.495900012552738e-05,395008.0,0.5284,0.493
AutoNorm-FashionMNIST,0.7155833333333333,1.228470751063029,0.9219,0.005700893000466749,79391488.0,0.1031,0.1024
AutoNorm_DisableSelector-FashionMNIST,0.7481166666666667,1.1710652263005574,0.9282,0.005354811999714002,79376640.0,0.1101,0.1129
AutoNorm_RandomSelector-FashionMNIST,0.7197333333333333,1.1853511281967164,0.9238,0.005042889999458566,79376640.0,0.1065,0.1047
FrozenDyT-FashionMNIST,0.7201666666666666,1.1932828065872192,0.9263,0.005300782000413165,79391488.0,0.1087,0.1024
FrozenLN-FashionMNIST,0.7355,1.1689910280227662,0.9312,0.005369880000362173,79391488.0,0.109,0.1006
Teacher-FashionMNIST,0.7327,1.243724529139201,0.8982,9.479000000283122e-05,102144.0,,
AutoNorm-SVHN,0.6205004299930382,1.430129790167122,0.8937845728334358,0.005265783000504598,103178368.0,0.0927,0.0921
AutoNorm_DisableSelector-SVHN,0.6355024093260713,1.4087552989744943,0.9010832821143209,0.005330123000312596,103161600.0,0.0923,0.093
AutoNorm_RandomSelector-SVHN,0.6335230762930505,1.4043009683241843,0.9036570374923172,0.0052736030006781225,103161600.0,0.0998,0.0921
FrozenDyT-SVHN,0.6610699318836425,1.3779233325417373,0.9110325752919484,0.006172323999926448,103178368.0,0.0956,0.0987
FrozenLN-SVHN,0.6421911899204171,1.3898660938050822,0.9037338660110633,0.005526934999506921,103178368.0,0.0883,0.093
Teacher-SVHN,0.4845543770561175,1.7437097737629583,0.7837277197295636,9.08250012435019e-05,395008.0,0.0918,0.0918
